English Institution Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aalto University,16119,16422,16143,15418,15113,14707,14526,14712,14941,15564
Arcada Polytechnic,2356,2360,2353,0,0,0,0,0,0,0
Arcada University of Applied Sciences,0,0,0,2390,2435,2467,2572,2613,2607,2714
Centria Polytechnic,3486,3588,3367,0,0,0,0,0,0,0
Centria University of Applied Sciences,0,0,0,3220,3061,3056,3027,2944,3008,3405
Diaconia Polytechnic,3195,3114,3087,0,0,0,0,0,0,0
Diaconia University of Applied Sciences,0,0,0,2969,2882,2909,2962,2873,2920,3090
Finnish Academy of Fine Arts,247,249,0,0,0,0,0,0,0,0
Finnish National Defence University,659,774,788,861,840,824,863,878,804,802
HAAGA-HELIA Polytechnic,9829,10015,10060,0,0,0,0,0,0,0
HAAGA-HELIA University of Applied Sciences,0,0,0,10183,10211,10413,10353,10181,10143,10193
Hanken School of Economics,2183,2202,2228,2295,2345,2408,2424,2383,2382,2428
Humak University of Applied Sciences,0,0,0,0,1551,1544,1514,1496,1565,1760
Humanities Polytechnic,1492,1483,1453,0,0,0,0,0,0,0
Humanities University of Applied Sciences,0,0,0,1517,0,0,0,0,0,0
Häme Polytechnic,7034,6918,6854,0,0,0,0,0,0,0
Häme University of Applied Sciences,0,0,0,6841,6656,6669,6697,6871,7223,8111
JAMK University of Applied Sciences,0,0,0,0,7227,7297,7291,7409,7405,7530
Jyväskylä Polytechnic,6940,7054,7026,0,0,0,0,0,0,0
Jyväskylä University of Applied Sciences,0,0,0,7100,0,0,0,0,0,0
Kajaani Polytechnic,2119,2140,2181,0,0,0,0,0,0,0
Kajaani University of Applied Sciences,0,0,0,2210,2180,2302,2368,2497,2612,2868
Karelia Polytechnic,4184,3913,3834,0,0,0,0,0,0,0
Karelia University of Applied Sciences,0,0,0,3857,3700,3747,3658,3796,3837,3984
Kemi-Tornio Polytechnic,2897,2764,2755,0,0,0,0,0,0,0
Kymenlaakso Polytechnic,4210,4132,4214,0,0,0,0,0,0,0
Kymenlaakso University of Applied Sciences,0,0,0,4334,4507,4599,0,0,0,0
LAB University of Applied Sciences,0,0,0,0,0,0,0,0,0,8735
Lahti Polytechnic,5235,5244,5205,0,0,0,0,0,0,0
Lahti University of Applied Sciences,0,0,0,5034,4964,5030,5034,5183,5132,0
Lapland University of Applied Sciences,0,0,0,5844,5858,5827,5869,5841,5718,5901
Lappeenranta University of Technology,4622,4539,4420,4422,0,0,0,0,0,0
Lappeenranta University of Technology LUT,0,0,0,0,4353,4392,4503,4767,0,0
Lappeenranta-Lahti University of Technology (LUT University),0,0,0,0,0,0,0,0,4938,5329
Laurea Polytechnic,7620,7673,7745,0,0,0,0,0,0,0
Laurea University of Applied Sciences,0,0,0,7611,7803,7691,7475,7366,7279,7775
Metropolia Polytechnic,15767,16038,16333,0,0,0,0,0,0,0
Metropolia University of Applied Sciences,0,0,0,16181,16326,16597,16399,16318,16185,16579
Mikkeli Polytechnic,4608,4430,4322,0,0,0,0,0,0,0
Mikkeli University of Applied Sciences,0,0,0,4437,4619,4611,0,0,0,0
Novia Polytechnic,3736,3757,3789,0,0,0,0,0,0,0
Novia University of Applied Sciences,0,0,0,3928,4153,4057,4049,4004,3829,4221
Oulu Polytechnic,7796,7901,7866,0,0,0,0,0,0,0
Oulu University of Applied Sciences,0,0,0,7983,7768,7935,7940,7915,7915,8320
Police College of Finland,123,75,88,0,0,0,0,0,0,0
Police University college,0,0,0,197,463,565,806,1058,1160,1114
Rovaniemi Polytechnic,3284,3368,3251,0,0,0,0,0,0,0
Saimaa Polytechnic,3132,3131,3072,0,0,0,0,0,0,0
Saimaa University of Applied Sciences,0,0,0,3088,3192,3295,3393,3363,3315,0
Satakunta Polytechnic,5939,5854,5650,0,0,0,0,0,0,0
Satakunta University of Applied Sciences,0,0,0,5757,5712,5853,5903,6109,5959,6171
Savonia University of Applied Sciences,6526,6446,6230,6321,6588,6600,6740,6710,6819,7417
Seinäjoki Polytechnic,4850,4970,4925,0,0,0,0,0,0,0
Seinäjoki University of Applied Sciences,0,0,0,5077,5011,4825,4833,4631,4528,4784
Sibelius Academy,1234,1199,0,0,0,0,0,0,0,0
South-Eastern Finland University of Applied Sciences,0,0,0,0,0,0,9304,9381,9482,9988
Tampere Polytechnic,9793,9714,9630,0,0,0,0,0,0,0
Tampere University,0,0,0,0,0,0,0,0,18393,18349
Tampere University of Applied Sciences,0,0,0,9495,9613,9592,9716,9621,9633,10006
Tampere University of Technology,8778,8783,8428,7714,6916,6763,6791,6825,0,0
Theatre Academy,331,320,0,0,0,0,0,0,0,0
Turku Polytechnic,9562,9650,9688,0,0,0,0,0,0,0
Turku University of Applied Sciences,0,0,0,9299,9461,9521,9566,10129,10212,10349
University of Eastern Finland,13101,13445,13728,14040,13979,13894,13850,13882,13730,14181
University of Helsinki,31438,31094,30254,29916,27796,27354,26832,26782,26957,26901
University of Jyväskylä,11891,11678,11828,11613,11926,12319,12012,12348,12378,12521
University of Lapland,4517,4338,4240,4002,4032,4020,3941,3929,3866,3979
University of Oulu,13812,13580,13526,13163,12525,11461,11435,11486,11328,11659
University of Tampere,13787,13623,13545,13320,11754,11671,11762,11578,0,0
University of Turku,15693,15702,15513,14921,14192,14161,14169,14179,14258,14491
University of Vaasa,4696,4761,4911,5020,5048,4967,4690,4716,4731,4875
University of the Arts Helsinki,0,0,1824,1768,1785,1779,1762,1742,1741,1700
Vaasa Polytechnic,3569,3546,3310,0,0,0,0,0,0,0
Vaasa University of Applied Sciences,0,0,0,3293,3253,3227,3264,3192,3162,3237
Åbo Akademi University,5680,5739,5520,5417,5305,5146,5081,4915,4866,5089
Åland Polytechnic,575,598,592,0,0,0,0,0,0,0
Åland University of Applied Sciences,0,0,0,553,533,563,521,521,509,543
